Date,Discharge
9/12/1941,170
9/13/1941,138
9/14/1941,121
9/15/1941,107
9/16/1941,97
9/17/1941,91
9/18/1941,82
9/19/1941,78
9/20/1941,73
9/21/1941,69
9/22/1941,65
9/23/1941,62
9/24/1941,60
9/25/1941,60
9/26/1941,56
9/27/1941,54
9/28/1941,52
9/29/1941,50
9/30/1941,50
10/1/1941,50
10/2/1941,51
10/3/1941,60
10/4/1941,84
10/5/1941,89
10/6/1941,82
10/7/1941,76
10/8/1941,78
10/9/1941,78
10/10/1941,78
10/11/1941,73
10/12/1941,76
10/13/1941,80
10/14/1941,89
10/15/1941,99
10/16/1941,97
10/17/1941,91
10/18/1941,88
10/19/1941,88
10/20/1941,86
10/21/1941,84
10/22/1941,80
10/23/1941,84
10/24/1941,99
10/25/1941,107
10/26/1941,111
10/27/1941,109
10/28/1941,107
10/29/1941,103
10/30/1941,107
10/31/1941,105
11/1/1941,138
11/2/1941,337
11/3/1941,386
11/4/1941,306
11/5/1941,254
11/6/1941,241
11/7/1941,552
11/8/1941,496
11/9/1941,403
11/10/1941,335
11/11/1941,302
11/12/1941,281
11/13/1941,267
11/14/1941,251
11/15/1941,235
11/16/1941,217
11/17/1941,208
11/18/1941,198
11/19/1941,187
11/20/1941,182
11/21/1941,220
11/22/1941,271
11/23/1941,278
11/24/1941,342
11/25/1941,346
11/26/1941,302
11/27/1941,284
11/28/1941,271
11/29/1941,258
11/30/1941,248
12/1/1941,238
12/2/1941,248
12/3/1941,261
12/4/1941,264
12/5/1941,254
12/6/1941,241
12/7/1941,223
12/8/1941,208
12/9/1941,217
12/10/1941,203
12/11/1941,165
12/12/1941,150
12/13/1941,170
12/14/1941,540
12/15/1941,620
12/16/1941,470
12/17/1941,390
12/18/1941,350
12/19/1941,350
12/20/1941,330
12/21/1941,180
12/22/1941,225
12/23/1941,270
12/24/1941,2700
12/25/1941,4320
12/26/1941,2760
12/27/1941,2220
12/28/1941,1790
12/29/1941,1400
12/30/1941,920
12/31/1941,880
1/1/1942,935
1/2/1942,1680
1/3/1942,1730
1/4/1942,1210
1/5/1942,1060
1/6/1942,680
1/7/1942,468
1/8/1942,420
1/9/1942,450
1/10/1942,480
1/11/1942,450
1/12/1942,410
1/13/1942,390
1/14/1942,380
1/15/1942,370
1/16/1942,330
1/17/1942,320
1/18/1942,330
1/19/1942,470
1/20/1942,1140
1/21/1942,1100
1/22/1942,800
1/23/1942,720
1/24/1942,680
1/25/1942,685
1/26/1942,649
1/27/1942,598
1/28/1942,560
1/29/1942,400
1/30/1942,370
1/31/1942,800
2/1/1942,1700
2/2/1942,1220
2/3/1942,420
2/4/1942,430
2/5/1942,460
2/6/1942,500
2/7/1942,540
2/8/1942,560
2/9/1942,440
2/10/1942,410
2/11/1942,380
2/12/1942,320
2/13/1942,280
2/14/1942,300
2/15/1942,290
2/16/1942,270
2/17/1942,640
2/18/1942,2000
2/19/1942,1120
2/20/1942,740
2/21/1942,480
2/22/1942,400
2/23/1942,380
2/24/1942,360
2/25/1942,340
2/26/1942,320
2/27/1942,310
2/28/1942,300
3/1/1942,290
3/2/1942,290
3/3/1942,270
3/4/1942,300
3/5/1942,310
3/6/1942,370
3/7/1942,580
3/8/1942,1160
3/9/1942,8200
3/10/1942,6910
3/11/1942,2730
3/12/1942,2410
3/13/1942,1870
3/14/1942,1780
3/15/1942,1650
3/16/1942,1570
3/17/1942,6060
3/18/1942,6650
3/19/1942,4090
3/20/1942,2850
3/21/1942,2310
3/22/1942,2970
3/23/1942,2770
3/24/1942,2200
3/25/1942,1870
3/26/1942,1780
3/27/1942,1900
3/28/1942,1770
3/29/1942,1550
3/30/1942,1510
3/31/1942,1500
4/1/1942,1520
4/2/1942,1660
4/3/1942,2030
4/4/1942,2050
4/5/1942,2150
4/6/1942,2030
4/7/1942,1900
4/8/1942,3490
4/9/1942,2930
4/10/1942,2590
4/11/1942,2460
4/12/1942,2300
4/13/1942,2040
4/14/1942,2070
4/15/1942,1840
4/16/1942,1700
4/17/1942,1590
4/18/1942,1500
4/19/1942,1390
4/20/1942,1410
4/21/1942,1350
4/22/1942,1200
4/23/1942,1010
4/24/1942,892
4/25/1942,814
4/26/1942,737
4/27/1942,670
4/28/1942,600
4/29/1942,547
4/30/1942,506
5/1/1942,502
5/2/1942,520
5/3/1942,480
5/4/1942,433
5/5/1942,399
5/6/1942,367
5/7/1942,391
5/8/1942,404
5/9/1942,375
5/10/1942,347
5/11/1942,317
5/12/1942,295
5/13/1942,309
5/14/1942,328
5/15/1942,281
5/16/1942,277
5/17/1942,577
5/18/1942,467
5/19/1942,387
5/20/1942,371
5/21/1942,779
5/22/1942,2990
5/23/1942,17400
5/24/1942,9310
5/25/1942,4430
5/26/1942,2950
5/27/1942,2170
5/28/1942,1660
5/29/1942,1280
5/30/1942,1050
5/31/1942,922
6/1/1942,988
6/2/1942,1180
6/3/1942,934
6/4/1942,1160
6/5/1942,1450
6/6/1942,969
6/7/1942,792
6/8/1942,700
6/9/1942,600
6/10/1942,516
6/11/1942,462
6/12/1942,441
6/13/1942,468
6/14/1942,1770
6/15/1942,3500
6/16/1942,1810
6/17/1942,1320
6/18/1942,1350
6/19/1942,1130
6/20/1942,910
6/21/1942,952
6/22/1942,1040
6/23/1942,808
6/24/1942,675
6/25/1942,590
6/26/1942,529
6/27/1942,475
6/28/1942,429
6/29/1942,387
6/30/1942,351
7/1/1942,321
7/2/1942,317
7/3/1942,390
7/4/1942,383
7/5/1942,313
7/6/1942,299
7/7/1942,355
7/8/1942,317
7/9/1942,264
7/10/1942,232
7/11/1942,260
7/12/1942,324
7/13/1942,299
7/14/1942,235
7/15/1942,200
