STATION,STATION_NAME,DATE,MDPR,MDSF,DAPR,DASF,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WT09,WT14,WT01,WT06,WT05,WT11,WT04,WT03
GHCND:USC00302036,DELHI 2 SE NY US,19401031,-9999,-9999,-9999,-9999,64,0,0,61,39,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401101,-9999,-9999,-9999,-9999,0,0,0,100,39,83,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401102,-9999,-9999,-9999,-9999,206,0,0,122,61,94,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401103,-9999,-9999,-9999,-9999,13,0,0,111,6,72,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401104,-9999,-9999,-9999,-9999,0,0,0,189,-22,167,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401105,-9999,-9999,-9999,-9999,0,0,0,194,28,139,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401106,-9999,-9999,-9999,-9999,74,0,0,178,22,44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401107,-9999,-9999,-9999,-9999,8,0,0,50,-17,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401108,-9999,-9999,-9999,-9999,0,0,0,0,-17,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401109,-9999,-9999,-9999,-9999,0,0,0,39,-22,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401110,-9999,-9999,-9999,-9999,0,0,0,83,-56,78,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401111,-9999,-9999,-9999,-9999,0,0,0,133,50,122,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401112,-9999,-9999,-9999,-9999,122,0,0,144,44,61,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401113,-9999,-9999,-9999,-9999,8,0,0,183,11,11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401114,-9999,-9999,-9999,-9999,51,0,0,44,6,39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401115,-9999,-9999,-9999,-9999,86,0,0,44,22,28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401116,-9999,-9999,-9999,-9999,8,0,0,33,-28,-22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00302036,DELHI 2 SE NY US,19401117,-9999,-9999,-9999,-9999,13,25,25,22,-17,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
