number,year,month,day,discharge,ET,precp
1,1940,10,1,127,0.11,0
2,1940,10,2,120,0.1,0.05
3,1940,10,3,122,0.12,0.08
4,1940,10,4,120,0.11,0
5,1940,10,5,114,0.1,0
6,1940,10,6,110,0.15,0.23
7,1940,10,7,111,0.17,0.08
8,1940,10,8,771,0.16,2.87
9,1940,10,9,549,0.09,0
10,1940,10,10,401,0.1,0
11,1940,10,11,316,0,0
12,1940,10,12,267,0.12,0
13,1940,10,13,238,0.13,0
14,1940,10,14,217,0.11,0
15,1940,10,15,203,0.11,0.71
16,1940,10,16,238,0.07,0
17,1940,10,17,214,0.07,0
18,1940,10,18,200,0.07,1.07
19,1940,10,19,186,0,0
20,1940,10,20,178,0,0
21,1940,10,21,170,0.06,0.13
22,1940,10,22,163,0,0
23,1940,10,23,153,0.1,0
24,1940,10,24,149,0.11,0
25,1940,10,25,144,0.08,0.03
26,1940,10,26,140,0.07,0
27,1940,10,27,133,0.06,0
28,1940,10,28,129,0,0
29,1940,10,29,122,0.06,0
30,1940,10,30,162,0.08,0.61
31,1940,10,31,210,0.08,0.64
32,1940,11,1,203,0.07,0
33,1940,11,2,549,0.08,2.06
34,1940,11,3,816,0.07,0.13
35,1940,11,4,684,0.08,0
36,1940,11,5,533,0.09,0
37,1940,11,6,592,0.09,0.74
38,1940,11,7,586,0.05,0.08
39,1940,11,8,534,0,0
40,1940,11,9,481,0.05,0
41,1940,11,10,459,0.05,0
42,1940,11,11,441,0.08,0
43,1940,11,12,519,0.08,1.22
44,1940,11,13,1080,0.08,0.08
45,1940,11,14,946,0.05,0.51
46,1940,11,15,2460,0.06,0.86
47,1940,11,16,2430,0.04,0.08
48,1940,11,17,1900,0.04,0.13
49,1940,11,18,1630,0,0.13
50,1940,11,19,1370,0.05,0
51,1940,11,20,1270,0.06,0.13
52,1940,11,21,1230,0.07,0
53,1940,11,22,1100,0.09,0
54,1940,11,23,980,0.06,1.78
55,1940,11,24,902,0.05,0
56,1940,11,25,831,0,0.08
57,1940,11,26,721,0,0
58,1940,11,27,680,0,1.52
59,1940,11,28,700,0,0.2
60,1940,11,29,600,0,0.13
61,1940,11,30,640,0,0.05
62,1940,12,1,631,0,0.58
63,1940,12,2,565,0,0
64,1940,12,3,450,0,0.2
65,1940,12,4,290,0,0
66,1940,12,5,350,0,0.48
67,1940,12,6,450,0,0
68,1940,12,7,580,0,0.2
69,1940,12,8,640,0.04,0
70,1940,12,9,620,0,0
71,1940,12,10,600,0,0
72,1940,12,11,620,0.04,0
73,1940,12,12,614,0,0.56
74,1940,12,13,1910,0.05,0.23
75,1940,12,14,2060,0,0
76,1940,12,15,1280,0,0
77,1940,12,16,1430,0,0.43
78,1940,12,17,2860,0,0.46
79,1940,12,18,1900,0,0
80,1940,12,19,1700,0,0
81,1940,12,20,1550,0.05,0
82,1940,12,21,1510,0.05,0
83,1940,12,22,1410,0.04,0.08
84,1940,12,23,1240,0,0
85,1940,12,24,1020,0,0
86,1940,12,25,920,0.05,0
87,1940,12,26,901,0.04,0
88,1940,12,27,1400,0.05,0.23
89,1940,12,28,4070,0.06,0.43
90,1940,12,29,6200,0.07,0.64
91,1940,12,30,7200,0.06,0.2
92,1940,12,31,4600,0.05,0
93,1941,1,1,3300,0.05,0
94,1941,1,2,2500,0,0.08
95,1941,1,3,2050,0,0.69
96,1941,1,4,1800,0,0
97,1941,1,5,1500,0,0.25
98,1941,1,6,1270,0,0
99,1941,1,7,1090,0,0
100,1941,1,8,942,0,0
101,1941,1,9,841,0,0.25
102,1941,1,10,947,0,0
103,1941,1,11,780,0,0
104,1941,1,12,620,0,0
105,1941,1,13,560,0,0
106,1941,1,14,480,0,0
107,1941,1,15,340,0,0
108,1941,1,16,490,0,0.08
109,1941,1,17,640,0,0.05
110,1941,1,18,697,0.04,0
111,1941,1,19,680,0,0.18
112,1941,1,20,410,0,0
113,1941,1,21,330,0,0
114,1941,1,22,400,0,0.08
115,1941,1,23,420,0,0
116,1941,1,24,320,0,1.02
117,1941,1,25,360,0,0.61
118,1941,1,26,370,0,0
119,1941,1,27,340,0,0.33
120,1941,1,28,330,0,0.25
121,1941,1,29,290,0,0
122,1941,1,30,225,0,0.13
123,1941,1,31,240,0,0.15
124,1941,2,1,290,0,0
125,1941,2,2,270,0,0.1
126,1941,2,3,260,0,0
127,1941,2,4,245,0,0
128,1941,2,5,230,0,0
129,1941,2,6,205,0,0
130,1941,2,7,250,0.06,0.38
131,1941,2,8,540,0,1.75
132,1941,2,9,940,0,1.78
133,1941,2,10,760,0,0
134,1941,2,11,600,0,0
135,1941,2,12,540,0,0
136,1941,2,13,490,0.05,0
137,1941,2,14,520,0.06,0
138,1941,2,15,1200,0.06,0.38
139,1941,2,16,1600,0,1.78
140,1941,2,17,1020,0,0.15
141,1941,2,18,800,0,0.71
142,1941,2,19,680,0,1.78
143,1941,2,20,640,0,0.18
144,1941,2,21,600,0,0.15
145,1941,2,22,580,0,0.18
146,1941,2,23,540,0,0
147,1941,2,24,460,0,0
148,1941,2,25,430,0,0
149,1941,2,26,410,0,0
150,1941,2,27,380,0,0
151,1941,2,28,340,0,0
152,1941,3,1,330,0,0.15
153,1941,3,2,370,0,0
154,1941,3,3,430,0,0.25
155,1941,3,4,1300,0,1.37
156,1941,3,5,2100,0,0
157,1941,3,6,1350,0,0
158,1941,3,7,1040,0,0
159,1941,3,8,920,0,0.28
160,1941,3,9,860,0,0.66
161,1941,3,10,780,0,0.2
162,1941,3,11,720,0,0.94
163,1941,3,12,760,0,0.91
164,1941,3,13,680,0,0
165,1941,3,14,640,0,0
166,1941,3,15,660,0,0
167,1941,3,16,760,0.08,0
168,1941,3,17,1020,0,0.56
169,1941,3,18,780,0,0.13
170,1941,3,19,640,0,0
171,1941,3,20,740,0,0
172,1941,3,21,720,0,0
173,1941,3,22,680,0,0
174,1941,3,23,880,0,0
175,1941,3,24,1350,0.07,0
176,1941,3,25,1300,0.08,0.08
177,1941,3,26,1120,0,0.15
178,1941,3,27,1200,0,0
179,1941,3,28,1550,0,0
180,1941,3,29,1700,0.07,0.05
181,1941,3,30,1360,0,0.1
182,1941,3,31,1260,0,0
183,1941,4,1,1470,0.1,0
184,1941,4,2,2060,0.09,0
185,1941,4,3,3210,0.09,0
186,1941,4,4,3990,0.11,0
187,1941,4,5,4710,0.12,0.69
188,1941,4,6,6290,0.12,0.74
189,1941,4,7,5800,0.1,0
190,1941,4,8,4640,0.1,0
191,1941,4,9,4200,0.12,0
192,1941,4,10,3950,0.13,0
193,1941,4,11,3810,0.13,0
194,1941,4,12,3530,0.14,0
195,1941,4,13,3200,0.17,0
196,1941,4,14,3450,0.24,1.19
197,1941,4,15,3520,0.24,0
198,1941,4,16,2690,0.22,0
199,1941,4,17,2210,0.24,0.15
200,1941,4,18,1820,0.2,0
201,1941,4,19,1690,0.26,0.61
202,1941,4,20,1480,0.3,0
203,1941,4,21,1220,0.25,0.05
204,1941,4,22,1120,0.12,0.41
205,1941,4,23,1000,0.12,0
206,1941,4,24,961,0.16,0.43
207,1941,4,25,890,0.13,0
208,1941,4,26,781,0.14,0
209,1941,4,27,715,0.15,0.23
210,1941,4,28,655,0.16,0
211,1941,4,29,576,0.19,0
212,1941,4,30,519,0.22,0
213,1941,5,1,477,0.24,0
214,1941,5,2,441,0.18,0
215,1941,5,3,407,0.14,0
216,1941,5,4,378,0.17,0
217,1941,5,5,394,0.21,0.71
218,1941,5,6,420,0.25,0
219,1941,5,7,374,0.37,0
220,1941,5,8,586,0.31,1.88
221,1941,5,9,671,0.25,1.68
222,1941,5,10,1380,0.19,1.57
223,1941,5,11,1140,0.14,0
224,1941,5,12,974,0.13,0
225,1941,5,13,857,0.15,0
226,1941,5,14,751,0.17,0
227,1941,5,15,661,0.2,0
228,1941,5,16,586,0.26,0
229,1941,5,17,544,0.3,0
230,1941,5,18,505,0.19,0
231,1941,5,19,446,0.17,0.05
232,1941,5,20,411,0.25,0
233,1941,5,21,370,0.31,0
234,1941,5,22,328,0.38,0.15
235,1941,5,23,313,0.31,0.13
236,1941,5,24,316,0.21,0
237,1941,5,25,281,0.17,0
238,1941,5,26,254,0.26,0
239,1941,5,27,232,0.28,0.13
240,1941,5,28,229,0.39,1.73
241,1941,5,29,248,0.32,0.41
242,1941,5,30,244,0.19,0
243,1941,5,31,220,0.21,0
244,1941,6,1,211,0.28,0.89
245,1941,6,2,208,0.35,0
246,1941,6,3,192,0.3,0
247,1941,6,4,195,0.35,1.14
248,1941,6,5,396,0.27,1.8
249,1941,6,6,450,0.28,0
250,1941,6,7,326,0.31,0
251,1941,6,8,241,0.42,0
252,1941,6,9,200,0.3,0
253,1941,6,10,174,0.22,0
254,1941,6,11,156,0.21,0
255,1941,6,12,147,0.24,0.03
256,1941,6,13,145,0.25,0.69
257,1941,6,14,153,0.35,0.28
258,1941,6,15,158,0.3,0.15
259,1941,6,16,177,0.33,0.91
260,1941,6,17,222,0.35,0.08
261,1941,6,18,208,0.37,1.24
262,1941,6,19,174,0.37,0
263,1941,6,20,165,0.42,0
264,1941,6,21,147,0.42,0
265,1941,6,22,130,0.46,0
266,1941,6,23,140,0.46,0.64
267,1941,6,24,134,0.4,0
268,1941,6,25,115,0.3,0
269,1941,6,26,105,0.36,0
270,1941,6,27,95,0.49,0
271,1941,6,28,86,0.48,0
272,1941,6,29,80,0.49,0.61
273,1941,6,30,80,0.49,0
274,1941,7,1,97,0.45,0.97
275,1941,7,2,305,0.49,0.99
276,1941,7,3,219,0.37,0
277,1941,7,4,160,0.36,0.28
278,1941,7,5,136,0.36,0
279,1941,7,6,119,0.31,0
280,1941,7,7,107,0.4,0.2
281,1941,7,8,101,0.41,1.27
282,1941,7,9,111,0.34,0
283,1941,7,10,113,0.31,0
284,1941,7,11,101,0.35,0
285,1941,7,12,89,0.46,0
286,1941,7,13,88,0.43,1.02
287,1941,7,14,105,0.33,0
288,1941,7,15,101,0.33,0
289,1941,7,16,93,0.34,0
290,1941,7,17,99,0.4,1.14
291,1941,7,18,132,0.3,0
292,1941,7,19,151,0.39,0.53
293,1941,7,20,160,0.32,0
294,1941,7,21,128,0.27,0
295,1941,7,22,117,0.36,0
296,1941,7,23,105,0.44,0
297,1941,7,24,97,0.45,0
298,1941,7,25,91,0.48,0
299,1941,7,26,82,0.49,0
300,1941,7,27,73,0.4,0
301,1941,7,28,76,0.46,0.25
302,1941,7,29,88,0.42,1.47
303,1941,7,30,223,0.41,3.99
304,1941,7,31,459,0.43,0.13
305,1941,8,1,3760,0.42,2.92
306,1941,8,2,1710,0.36,0
307,1941,8,3,938,0.31,0
308,1941,8,4,640,0.29,0
309,1941,8,5,488,0.32,0
310,1941,8,6,389,0.31,0
311,1941,8,7,320,0.29,0
312,1941,8,8,271,0.3,0
313,1941,8,9,238,0.32,0.33
314,1941,8,10,220,0.32,0
315,1941,8,11,198,0.22,0
316,1941,8,12,177,0.22,0.13
317,1941,8,13,158,0.19,0
318,1941,8,14,145,0.2,0
319,1941,8,15,151,0.27,1.02
320,1941,8,16,179,0.28,0.1
321,1941,8,17,235,0.23,0.81
322,1941,8,18,208,0.2,0
323,1941,8,19,208,0.29,1.35
324,1941,8,20,229,0.25,0.2
325,1941,8,21,189,0.23,0
326,1941,8,22,165,0.27,0
327,1941,8,23,192,0.3,1.09
328,1941,8,24,182,0.25,0
329,1941,8,25,195,0.28,1.24
330,1941,8,26,232,0.42,0
331,1941,8,27,195,0.32,0.2
332,1941,8,28,165,0.19,0
333,1941,8,29,142,0.2,0
334,1941,8,30,130,0.31,0
335,1941,8,31,121,0.37,0.97
336,1941,9,1,138,0.3,0.2
337,1941,9,2,130,0.2,0
338,1941,9,3,117,0.17,0
339,1941,9,4,119,0.2,0.18
340,1941,9,5,119,0.3,0
341,1941,9,6,142,0.28,1.24
342,1941,9,7,156,0.24,0
343,1941,9,8,128,0.17,0
344,1941,9,9,113,0.24,1.19
345,1941,9,10,113,0.35,0
346,1941,9,11,172,0.28,0
347,1941,9,12,170,0.14,1.7
348,1941,9,13,138,0.16,0
349,1941,9,14,121,0.18,0
350,1941,9,15,107,0.24,0
351,1941,9,16,97,0.27,0
352,1941,9,17,91,0.26,0
353,1941,9,18,82,0.22,0
354,1941,9,19,78,0.15,0
355,1941,9,20,73,0.16,0
356,1941,9,21,69,0.19,0
357,1941,9,22,65,0.2,0
358,1941,9,23,62,0.2,0
359,1941,9,24,60,0.19,0
360,1941,9,25,60,0.22,0
361,1941,9,26,56,0.22,0
362,1941,9,27,54,0.13,0
363,1941,9,28,52,0.18,0
364,1941,9,29,50,0.15,0.05
365,1941,9,30,50,0.1,0
366,1941,10,1,50,0.18,0.51
367,1941,10,2,51,0.13,0
368,1941,10,3,60,0.15,0.18
369,1941,10,4,84,0.21,1.09
370,1941,10,5,89,0.22,0.2
371,1941,10,6,82,0.23,0.13
372,1941,10,7,76,0.22,0
373,1941,10,8,78,0.19,0.58
374,1941,10,9,78,0.11,0
375,1941,10,10,78,0.12,0.69
376,1941,10,11,73,0.08,1.7
377,1941,10,12,76,0.09,0.18
378,1941,10,13,80,0.12,0
379,1941,10,14,89,0.13,0.76
380,1941,10,15,99,0.11,0
381,1941,10,16,97,0.11,0.08
382,1941,10,17,91,0.08,0
383,1941,10,18,88,0.1,0.1
384,1941,10,19,88,0.14,0.56
385,1941,10,20,86,0.11,0
386,1941,10,21,84,0.1,0
387,1941,10,22,80,0.14,0
388,1941,10,23,84,0.12,0.86
389,1941,10,24,99,0.09,0.13
390,1941,10,25,107,0.09,0.3
391,1941,10,26,111,0.08,0
392,1941,10,27,109,0.12,0.43
393,1941,10,28,107,0.11,0.1
394,1941,10,29,103,0.06,0
395,1941,10,30,107,0.07,0
396,1941,10,31,105,0.1,0
397,1941,11,1,138,0.1,1.57
398,1941,11,2,337,0.1,0.94
399,1941,11,3,386,0.09,0.08
400,1941,11,4,306,0.07,0
401,1941,11,5,254,0.11,0
402,1941,11,6,241,0.09,0.43
403,1941,11,7,552,0.09,0.33
404,1941,11,8,496,0.07,0
405,1941,11,9,403,0.06,0
406,1941,11,10,335,0.06,0
407,1941,11,11,302,0.06,0
408,1941,11,12,281,0.05,0.36
409,1941,11,13,267,0.06,0
410,1941,11,14,251,0.07,0
411,1941,11,15,235,0.09,0
412,1941,11,16,217,0.09,0.1
413,1941,11,17,208,0.05,0
414,1941,11,18,198,0.09,0
415,1941,11,19,187,0.1,0
416,1941,11,20,182,0.11,0
417,1941,11,21,220,0.09,0.91
418,1941,11,22,271,0.05,0.08
419,1941,11,23,278,0.06,0.51
420,1941,11,24,342,0.06,0
421,1941,11,25,346,0,0
422,1941,11,26,302,0.06,0
423,1941,11,27,284,0.07,0
424,1941,11,28,271,0.06,0
425,1941,11,29,258,0.08,0
426,1941,11,30,248,0.09,0
427,1941,12,1,238,0,0
428,1941,12,2,248,0.05,0.2
429,1941,12,3,261,0.06,0.13
430,1941,12,4,264,0.08,0
431,1941,12,5,254,0.09,0
432,1941,12,6,241,0.06,0
433,1941,12,7,223,0,0.13
434,1941,12,8,208,0,0
435,1941,12,9,217,0.04,0.15
436,1941,12,10,203,0,0
437,1941,12,11,165,0,0.08
438,1941,12,12,150,0,0
439,1941,12,13,170,0,1.45
440,1941,12,14,540,0.04,1.45
441,1941,12,15,620,0,0
442,1941,12,16,470,0.04,0
443,1941,12,17,390,0.05,0
444,1941,12,18,350,0.05,0
445,1941,12,19,350,0.05,0
446,1941,12,20,330,0,0
447,1941,12,21,180,0,0
448,1941,12,22,225,0,0
449,1941,12,23,270,0.05,0.18
450,1941,12,24,2700,0.08,2.16
451,1941,12,25,4320,0.06,0.51
452,1941,12,26,2760,0.05,0.15
453,1941,12,27,2220,0.05,0.38
454,1941,12,28,1790,0,0
455,1941,12,29,1400,0,0.15
456,1941,12,30,920,0,0
457,1941,12,31,880,0,0
458,1942,1,1,935,0.05,0
459,1942,1,2,1680,0.07,0.81
460,1942,1,3,1730,0,0
461,1942,1,4,1210,0,0.97
462,1942,1,5,1060,0,0
463,1942,1,6,680,0,0
464,1942,1,7,468,0,0
465,1942,1,8,420,0,0
466,1942,1,9,450,0,0
467,1942,1,10,480,0,0
468,1942,1,11,450,0,0
469,1942,1,12,410,0,0
470,1942,1,13,390,0,0
471,1942,1,14,380,0,0
472,1942,1,15,370,0.04,0.15
473,1942,1,16,330,0,0.03
474,1942,1,17,320,0,0
475,1942,1,18,330,0.05,0
476,1942,1,19,470,0.07,0.56
477,1942,1,20,1140,0.05,0.08
478,1942,1,21,1100,0,0
479,1942,1,22,800,0,0
480,1942,1,23,720,0.05,0
481,1942,1,24,680,0.05,0
482,1942,1,25,685,0.05,0
483,1942,1,26,649,0.05,0.46
484,1942,1,27,598,0.05,0.08
485,1942,1,28,560,0.05,0
486,1942,1,29,400,0,0
487,1942,1,30,370,0,0
488,1942,1,31,800,0.05,1.02
489,1942,2,1,1700,0.05,0.15
490,1942,2,2,1220,0,0.13
491,1942,2,3,420,0,0
492,1942,2,4,430,0,0
493,1942,2,5,460,0,0.15
494,1942,2,6,500,0.06,0.08
495,1942,2,7,540,0.07,0.58
496,1942,2,8,560,0,0.2
497,1942,2,9,440,0,0
498,1942,2,10,410,0,0
499,1942,2,11,380,0,0.08
500,1942,2,12,320,0,0
501,1942,2,13,280,0,0
502,1942,2,14,300,0,0.08
503,1942,2,15,290,0,0
504,1942,2,16,270,0,0
505,1942,2,17,640,0.08,0.51
506,1942,2,18,2000,0,0
507,1942,2,19,1120,0,0.05
508,1942,2,20,740,0,0.05
509,1942,2,21,480,0,0
510,1942,2,22,400,0,0.08
511,1942,2,23,380,0,0.15
512,1942,2,24,360,0,0
513,1942,2,25,340,0,0
514,1942,2,26,320,0,0.23
515,1942,2,27,310,0,0.1
516,1942,2,28,300,0,0.05
517,1942,3,1,290,0.07,0
518,1942,3,2,290,0,0
519,1942,3,3,270,0.07,1.52
520,1942,3,4,300,0.07,0.74
521,1942,3,5,310,0,0
522,1942,3,6,370,0.08,0.08
523,1942,3,7,580,0.07,0
524,1942,3,8,1160,0.09,0
525,1942,3,9,8200,0.12,0.86
526,1942,3,10,6910,0.07,0.08
527,1942,3,11,2730,0.07,0
528,1942,3,12,2410,0.09,0
529,1942,3,13,1870,0.07,0
530,1942,3,14,1780,0.09,1.57
531,1942,3,15,1650,0.07,0.15
532,1942,3,16,1570,0.08,0
533,1942,3,17,6060,0.1,3.38
534,1942,3,18,6650,0.09,0
535,1942,3,19,4090,0.07,0
536,1942,3,20,2850,0.07,0
537,1942,3,21,2310,0.08,0.08
538,1942,3,22,2970,0.08,1.37
539,1942,3,23,2770,0,0.1
540,1942,3,24,2200,0,0.38
541,1942,3,25,1870,0.07,0
542,1942,3,26,1780,0.07,0
543,1942,3,27,1900,0.09,0
544,1942,3,28,1770,0.1,0
545,1942,3,29,1550,0.07,0
546,1942,3,30,1510,0.07,0.58
547,1942,3,31,1500,0.07,0.18
548,1942,4,1,1520,0,0.81
549,1942,4,2,1660,0.12,0
550,1942,4,3,2030,0.17,0
551,1942,4,4,2050,0.15,0.23
552,1942,4,5,2150,0.15,0
553,1942,4,6,2030,0.18,0
554,1942,4,7,1900,0.21,0
555,1942,4,8,3490,0.15,1.78
556,1942,4,9,2930,0.1,0
557,1942,4,10,2590,0.09,1.35
558,1942,4,11,2460,0.08,0.41
559,1942,4,12,2300,0.09,0.18
560,1942,4,13,2040,0.1,0
561,1942,4,14,2070,0.11,0
562,1942,4,15,1840,0.19,0
563,1942,4,16,1700,0.22,0
564,1942,4,17,1590,0.19,0.1
565,1942,4,18,1500,0.16,0
566,1942,4,19,1390,0.1,0.41
567,1942,4,20,1410,0.1,0.43
568,1942,4,21,1350,0.11,0.23
569,1942,4,22,1200,0.13,0
570,1942,4,23,1010,0.16,0
571,1942,4,24,892,0.17,0
572,1942,4,25,814,0.19,0
573,1942,4,26,737,0.22,0
574,1942,4,27,670,0.22,0
575,1942,4,28,600,0.22,0
576,1942,4,29,547,0.23,0
577,1942,4,30,506,0.22,0
578,1942,5,1,502,0.26,0.58
579,1942,5,2,520,0.27,0.05
580,1942,5,3,480,0.31,0.08
581,1942,5,4,433,0.37,0
582,1942,5,5,399,0.23,0
583,1942,5,6,367,0.15,0
584,1942,5,7,391,0.18,0.64
585,1942,5,8,404,0.21,0
586,1942,5,9,375,0.18,0.36
587,1942,5,10,347,0.19,0.08
588,1942,5,11,317,0.15,0
589,1942,5,12,295,0.19,0
590,1942,5,13,309,0.33,1.24
591,1942,5,14,328,0.35,0
592,1942,5,15,281,0.33,0
593,1942,5,16,277,0.29,0.15
594,1942,5,17,577,0.22,1.04
595,1942,5,18,467,0.25,0
596,1942,5,19,387,0.32,0
597,1942,5,20,371,0.28,0.43
598,1942,5,21,779,0.24,2.67
599,1942,5,22,2990,0.3,2.06
600,1942,5,23,17400,0.27,10.72
601,1942,5,24,9310,0.22,0
602,1942,5,25,4430,0.22,0
603,1942,5,26,2950,0.23,0
604,1942,5,27,2170,0.27,0.08
605,1942,5,28,1660,0.23,0
606,1942,5,29,1280,0.29,0
607,1942,5,30,1050,0.38,0
608,1942,5,31,922,0.39,0.86
609,1942,6,1,988,0.24,1.57
610,1942,6,2,1180,0.23,0
611,1942,6,3,934,0.25,0
612,1942,6,4,1160,0.36,0.15
613,1942,6,5,1450,0.34,0.25
614,1942,6,6,969,0.3,0
615,1942,6,7,792,0.4,0
616,1942,6,8,700,0.39,0.13
617,1942,6,9,600,0.3,0
618,1942,6,10,516,0.37,0
619,1942,6,11,462,0.45,0
620,1942,6,12,441,0.49,0.46
621,1942,6,13,468,0.48,0.36
622,1942,6,14,1770,0.38,6.25
623,1942,6,15,3500,0.29,0
624,1942,6,16,1810,0.28,0
625,1942,6,17,1320,0.33,0.91
626,1942,6,18,1350,0.35,0
627,1942,6,19,1130,0.34,0
628,1942,6,20,910,0.38,0
629,1942,6,21,952,0.37,1.17
630,1942,6,22,1040,0.36,0
631,1942,6,23,808,0.35,0
632,1942,6,24,675,0.31,0
633,1942,6,25,590,0.28,0
634,1942,6,26,529,0.28,0
635,1942,6,27,475,0.35,0
636,1942,6,28,429,0.38,0
637,1942,6,29,387,0.39,0
638,1942,6,30,351,0.38,0
639,1942,7,1,321,0.41,0.41
640,1942,7,2,317,0.39,0.05
641,1942,7,3,390,0.32,2.79
642,1942,7,4,383,0.35,0
643,1942,7,5,313,0.37,0.56
644,1942,7,6,299,0.39,0.36
645,1942,7,7,355,0.24,0.91
646,1942,7,8,317,0.27,0
647,1942,7,9,264,0.26,0
648,1942,7,10,232,0.25,0
649,1942,7,11,260,0.3,2.06
650,1942,7,12,324,0.33,0
651,1942,7,13,299,0.36,0
652,1942,7,14,235,0.47,0
653,1942,7,15,200,0.3,0
654,1942,7,16,178,0.27,0
655,1942,7,17,171,0.32,0
656,1942,7,18,451,0.45,1.19
657,1942,7,19,277,0.5,0
658,1942,7,20,251,0.48,0.08
659,1942,7,21,206,0.41,0
660,1942,7,22,228,0.37,0.13
661,1942,7,23,296,0.35,0.25
662,1942,7,24,203,0.38,1.09
663,1942,7,25,189,0.42,0
664,1942,7,26,178,0.4,0
665,1942,7,27,449,0.41,2.08
666,1942,7,28,1080,0.45,0.2
667,1942,7,29,612,0.41,0
668,1942,7,30,450,0.39,0
669,1942,7,31,416,0.38,0.79
670,1942,8,1,452,0.38,0.15
671,1942,8,2,420,0.27,0.41
672,1942,8,3,363,0.28,0.05
673,1942,8,4,291,0.24,0
674,1942,8,5,251,0.22,0
675,1942,8,6,217,0.23,0
676,1942,8,7,192,0.24,0
677,1942,8,8,184,0.26,0
678,1942,8,9,264,0.25,1.45
679,1942,8,10,304,0.3,1.19
680,1942,8,11,391,0.33,0.08
681,1942,8,12,359,0.32,0
682,1942,8,13,306,0.33,0.46
683,1942,8,14,317,0.34,0.58
684,1942,8,15,313,0.38,0.53
685,1942,8,16,332,0.41,0
686,1942,8,17,340,0.38,0.46
687,1942,8,18,299,0.28,0
688,1942,8,19,264,0.27,0.1
689,1942,8,20,229,0.25,0
690,1942,8,21,206,0.29,0
691,1942,8,22,189,0.36,0
692,1942,8,23,176,0.37,0.08
693,1942,8,24,168,0.33,0
694,1942,8,25,156,0.19,0
695,1942,8,26,147,0.19,0
696,1942,8,27,138,0.24,0
697,1942,8,28,138,0.26,0
698,1942,8,29,201,0.29,0.79
699,1942,8,30,186,0.29,0
700,1942,8,31,154,0.29,0
701,1942,9,1,140,0.26,0
702,1942,9,2,132,0.26,0
703,1942,9,3,123,0.27,0
704,1942,9,4,123,0.23,0.64
705,1942,9,5,123,0.19,0
706,1942,9,6,115,0.17,0
707,1942,9,7,111,0.17,0
708,1942,9,8,178,0.22,0.25
709,1942,9,9,310,0.22,1.75
710,1942,9,10,341,0.25,0.1
711,1942,9,11,284,0.25,0.08
712,1942,9,12,251,0.21,0
713,1942,9,13,208,0.24,0.1
714,1942,9,14,178,0.19,0
715,1942,9,15,161,0.28,0.15
716,1942,9,16,152,0.33,0
717,1942,9,17,145,0.28,0.18
718,1942,9,18,143,0.31,0
719,1942,9,19,138,0.26,0
720,1942,9,20,176,0.21,0.64
721,1942,9,21,166,0.13,0
722,1942,9,22,140,0.14,0
723,1942,9,23,136,0.15,0
724,1942,9,24,125,0.17,0
725,1942,9,25,115,0.11,0
726,1942,9,26,109,0.14,0
727,1942,9,27,565,0.23,5.59
728,1942,9,28,2760,0.14,1.45
729,1942,9,29,1470,0.1,0
730,1942,9,30,959,0.11,0
731,1942,10,1,759,0.13,0
732,1942,10,2,630,0.12,0
733,1942,10,3,534,0.1,0
734,1942,10,4,467,0.1,0.1
735,1942,10,5,450,0.14,0.2
736,1942,10,6,608,0.12,1.7
737,1942,10,7,734,0.1,0
738,1942,10,8,552,0.11,0
739,1942,10,9,467,0.14,0
740,1942,10,10,420,0.13,0
741,1942,10,11,383,0.11,0
742,1942,10,12,355,0.1,0
743,1942,10,13,328,0.1,0
744,1942,10,14,306,0.11,0
745,1942,10,15,295,0.17,0
746,1942,10,16,291,0.15,0.08
747,1942,10,17,364,0.12,0.97
748,1942,10,18,640,0.11,0.61
749,1942,10,19,635,0.09,0
750,1942,10,20,520,0.1,0
751,1942,10,21,471,0.09,0.1
752,1942,10,22,654,0.15,1.42
753,1942,10,23,718,0.13,0.33
754,1942,10,24,660,0.09,0
755,1942,10,25,595,0.11,0
756,1942,10,26,1270,0.09,2.34
757,1942,10,27,2690,0,0.64
758,1942,10,28,2070,0.08,0
759,1942,10,29,1780,0.09,0
760,1942,10,30,1490,0.12,0
761,1942,10,31,1280,0.16,0
762,1942,11,1,1230,0.1,0.36
763,1942,11,2,1270,0.06,0
764,1942,11,3,1090,0.07,0.25
765,1942,11,4,1000,0.05,0.1
766,1942,11,5,874,0.05,0
767,1942,11,6,792,0.07,0
768,1942,11,7,742,0.07,0
769,1942,11,8,690,0.07,0
770,1942,11,9,640,0.05,0
771,1942,11,10,638,0.07,0.99
772,1942,11,11,1030,0.07,0.56
773,1942,11,12,930,0,0
774,1942,11,13,842,0.05,0.33
775,1942,11,14,830,0,0.23
776,1942,11,15,770,0,0
777,1942,11,16,737,0.06,0
778,1942,11,17,759,0.08,0
779,1942,11,18,1210,0.1,0.86
780,1942,11,19,1480,0.08,0
781,1942,11,20,1250,0.09,0
782,1942,11,21,2160,0.08,2.03
783,1942,11,22,2330,0,0
784,1942,11,23,1830,0,0
785,1942,11,24,1780,0.06,0.56
786,1942,11,25,2550,0.07,0.76
787,1942,11,26,2780,0.07,0
788,1942,11,27,2200,0.06,0
789,1942,11,28,1840,0,0
790,1942,11,29,1540,0,0.08
791,1942,11,30,1430,0.05,0.36
792,1942,12,1,1330,0,0.1
793,1942,12,2,3870,0.04,2.29
794,1942,12,3,2940,0,0.15
795,1942,12,4,2090,0,0
